tool,metric,statistic,value,comparison,test_name,estimate,ci_low,ci_high,p_uncorrected,n,note,p_holm_sidak
OursC1,evacuation_time,mean,56.467599999997454,,,,,,,,,
OursC1,evacuation_time,std,5.481987382934869,,,,,,,,,
OursC1,evacuation_time,median,57.05999999999722,,,,,,,,,
OursC1,evacuation_time,q25,52.149999999998194,,,,,,,,,
OursC1,evacuation_time,q75,59.74999999999668,,,,,,,,,
OursC1,evacuation_time,n,25.0,,,,,,,,,
OursC1,evacuation_time,n_finite,25.0,,,,,,,,,
OursC1,collision_count,mean,42.36,,,,,,,,,
OursC1,collision_count,std,16.630494079651793,,,,,,,,,
OursC1,collision_count,median,42.0,,,,,,,,,
OursC1,collision_count,q25,32.0,,,,,,,,,
OursC1,collision_count,q75,53.0,,,,,,,,,
OursC1,collision_count,n,25.0,,,,,,,,,
OursC1,collision_count,n_finite,25.0,,,,,,,,,
OursC1,mean_speed,mean,0.3513769995956288,,,,,,,,,
OursC1,mean_speed,std,0.025037348298726773,,,,,,,,,
OursC1,mean_speed,median,0.3527386881998587,,,,,,,,,
OursC1,mean_speed,q25,0.3312913710267072,,,,,,,,,
OursC1,mean_speed,q75,0.3719215967832784,,,,,,,,,
OursC1,mean_speed,n,25.0,,,,,,,,,
OursC1,mean_speed,n_finite,25.0,,,,,,,,,
OursC1,wall_time_s,mean,17.519244108001296,,,,,,,,,
OursC1,wall_time_s,std,8.392917339284645,,,,,,,,,
OursC1,wall_time_s,median,21.92688189999899,,,,,,,,,
OursC1,wall_time_s,q25,8.850648700004967,,,,,,,,,
OursC1,wall_time_s,q75,24.62805060000392,,,,,,,,,
OursC1,wall_time_s,n,25.0,,,,,,,,,
OursC1,wall_time_s,n_finite,25.0,,,,,,,,,
OursC4,evacuation_time,mean,50.83999999999846,,,,,,,,,
OursC4,evacuation_time,std,4.374615221173826,,,,,,,,,
OursC4,evacuation_time,median,49.14999999999879,,,,,,,,,
OursC4,evacuation_time,q25,47.55999999999911,,,,,,,,,
OursC4,evacuation_time,q75,54.32999999999776,,,,,,,,,
OursC4,evacuation_time,n,25.0,,,,,,,,,
OursC4,evacuation_time,n_finite,25.0,,,,,,,,,
OursC4,collision_count,mean,29.36,,,,,,,,,
OursC4,collision_count,std,12.09641820264715,,,,,,,,,
OursC4,collision_count,median,29.0,,,,,,,,,
OursC4,collision_count,q25,21.0,,,,,,,,,
OursC4,collision_count,q75,38.0,,,,,,,,,
OursC4,collision_count,n,25.0,,,,,,,,,
OursC4,collision_count,n_finite,25.0,,,,,,,,,
OursC4,mean_speed,mean,0.3694669525501025,,,,,,,,,
OursC4,mean_speed,std,0.020521052191557556,,,,,,,,,
OursC4,mean_speed,median,0.3668750630978068,,,,,,,,,
OursC4,mean_speed,q25,0.3529431081581892,,,,,,,,,
OursC4,mean_speed,q75,0.3880225247871772,,,,,,,,,
OursC4,mean_speed,n,25.0,,,,,,,,,
OursC4,mean_speed,n_finite,25.0,,,,,,,,,
OursC4,wall_time_s,mean,77.0087979039998,,,,,,,,,
OursC4,wall_time_s,std,8.686327496294139,,,,,,,,,
OursC4,wall_time_s,median,75.49977170000784,,,,,,,,,
OursC4,wall_time_s,q25,71.23730219999561,,,,,,,,,
OursC4,wall_time_s,q75,81.873228499986,,,,,,,,,
OursC4,wall_time_s,n,25.0,,,,,,,,,
OursC4,wall_time_s,n_finite,25.0,,,,,,,,,
JuPedSim_CFS,evacuation_time,mean,33.5704,,,,,,,,,
JuPedSim_CFS,evacuation_time,std,1.1895779363567007,,,,,,,,,
JuPedSim_CFS,evacuation_time,median,33.25,,,,,,,,,
JuPedSim_CFS,evacuation_time,q25,32.78,,,,,,,,,
JuPedSim_CFS,evacuation_time,q75,34.18,,,,,,,,,
JuPedSim_CFS,evacuation_time,n,25.0,,,,,,,,,
JuPedSim_CFS,evacuation_time,n_finite,25.0,,,,,,,,,
JuPedSim_CFS,agents_exited,mean,50.0,,,,,,,,,
JuPedSim_CFS,agents_exited,std,0.0,,,,,,,,,
JuPedSim_CFS,agents_exited,median,50.0,,,,,,,,,
JuPedSim_CFS,agents_exited,q25,50.0,,,,,,,,,
JuPedSim_CFS,agents_exited,q75,50.0,,,,,,,,,
JuPedSim_CFS,agents_exited,n,25.0,,,,,,,,,
JuPedSim_CFS,agents_exited,n_finite,25.0,,,,,,,,,
JuPedSim_CFS,wall_time_s,mean,0.4484495319999587,,,,,,,,,
JuPedSim_CFS,wall_time_s,std,0.029450255824297663,,,,,,,,,
JuPedSim_CFS,wall_time_s,median,0.4396545999998125,,,,,,,,,
JuPedSim_CFS,wall_time_s,q25,0.4348983999998381,,,,,,,,,
JuPedSim_CFS,wall_time_s,q75,0.4634025999998812,,,,,,,,,
JuPedSim_CFS,wall_time_s,n,25.0,,,,,,,,,
JuPedSim_CFS,wall_time_s,n_finite,25.0,,,,,,,,,
JuPedSim_SF,evacuation_time,mean,,,,,,,,,,
JuPedSim_SF,evacuation_time,std,,,,,,,,,,
JuPedSim_SF,evacuation_time,median,,,,,,,,,,
JuPedSim_SF,evacuation_time,q25,,,,,,,,,,
JuPedSim_SF,evacuation_time,q75,,,,,,,,,,
JuPedSim_SF,evacuation_time,n,25.0,,,,,,,,,
JuPedSim_SF,evacuation_time,n_finite,0.0,,,,,,,,,
JuPedSim_SF,agents_exited,mean,31.28,,,,,,,,,
JuPedSim_SF,agents_exited,std,2.3007245235649862,,,,,,,,,
JuPedSim_SF,agents_exited,median,32.0,,,,,,,,,
JuPedSim_SF,agents_exited,q25,29.0,,,,,,,,,
JuPedSim_SF,agents_exited,q75,33.0,,,,,,,,,
JuPedSim_SF,agents_exited,n,25.0,,,,,,,,,
JuPedSim_SF,agents_exited,n_finite,25.0,,,,,,,,,
JuPedSim_SF,wall_time_s,mean,0.630294152000024,,,,,,,,,
JuPedSim_SF,wall_time_s,std,0.04476592770113943,,,,,,,,,
JuPedSim_SF,wall_time_s,median,0.6186594000000696,,,,,,,,,
JuPedSim_SF,wall_time_s,q25,0.6045908999999483,,,,,,,,,
JuPedSim_SF,wall_time_s,q75,0.6456613999998808,,,,,,,,,
JuPedSim_SF,wall_time_s,n,25.0,,,,,,,,,
JuPedSim_SF,wall_time_s,n_finite,25.0,,,,,,,,,
,evacuation_time,,,JuPedSim_CFS vs OursC1,Wilcoxon_signed_rank,-23.23999999999694,-25.779999999996953,-19.369999999998193,5.960464477539063e-08,25.0,,2.980231883498184e-07
,evacuation_time,,,JuPedSim_CFS vs OursC4,Wilcoxon_signed_rank,-16.36999999999879,-19.83999999999792,-14.59999999999905,5.960464477539063e-08,25.0,,2.980231883498184e-07
,agents_exited,,,JuPedSim_CFS vs OursC1,Wilcoxon_signed_rank,0.0,0.0,0.0,,25.0,,
,agents_exited,,,JuPedSim_CFS vs OursC4,Wilcoxon_signed_rank,0.0,0.0,0.0,,25.0,,
,agents_exited,,,JuPedSim_SF vs OursC1,Wilcoxon_signed_rank,-18.0,-21.0,-17.0,1.1174804723486517e-05,25.0,,2.2349484570712426e-05
,evacuation_time,,,OursC1 vs OursC4,Wilcoxon_signed_rank,5.349999999998936,3.5699999999992897,7.1699999999985735,1.4901161193847656e-06,25.0,,4.470341696819458e-06
,collision_count,,,OursC1 vs OursC4,Wilcoxon_signed_rank,13.0,8.0,15.0,2.633968425326461e-05,25.0,,2.633968425326461e-05
