config,width,seed,zone,collision_count
C1,0.8,42,upstream,335
C1,0.8,42,throat,0
C1,0.8,42,downstream,0
C1,0.8,43,upstream,283
C1,0.8,43,throat,0
C1,0.8,43,downstream,0
C1,0.8,44,upstream,357
C1,0.8,44,throat,4
C1,0.8,44,downstream,0
C1,0.8,45,upstream,295
C1,0.8,45,throat,0
C1,0.8,45,downstream,0
C1,0.8,46,upstream,323
C1,0.8,46,throat,0
C1,0.8,46,downstream,0
C1,0.8,47,upstream,276
C1,0.8,47,throat,3
C1,0.8,47,downstream,0
C1,0.8,48,upstream,294
C1,0.8,48,throat,4
C1,0.8,48,downstream,0
C1,0.8,49,upstream,326
C1,0.8,49,throat,3
C1,0.8,49,downstream,0
C1,0.8,50,upstream,362
C1,0.8,50,throat,0
C1,0.8,50,downstream,0
C1,0.8,51,upstream,310
C1,0.8,51,throat,4
C1,0.8,51,downstream,0
C1,0.8,52,upstream,287
C1,0.8,52,throat,0
C1,0.8,52,downstream,0
C1,0.8,53,upstream,279
C1,0.8,53,throat,0
C1,0.8,53,downstream,0
C1,0.8,54,upstream,244
C1,0.8,54,throat,0
C1,0.8,54,downstream,0
C1,0.8,55,upstream,306
C1,0.8,55,throat,3
C1,0.8,55,downstream,0
C1,0.8,56,upstream,372
C1,0.8,56,throat,3
C1,0.8,56,downstream,0
C1,0.8,57,upstream,383
C1,0.8,57,throat,0
C1,0.8,57,downstream,0
C1,0.8,58,upstream,378
C1,0.8,58,throat,3
C1,0.8,58,downstream,0
C1,0.8,59,upstream,252
C1,0.8,59,throat,1
C1,0.8,59,downstream,0
C1,0.8,60,upstream,257
C1,0.8,60,throat,0
C1,0.8,60,downstream,0
C1,0.8,61,upstream,345
C1,0.8,61,throat,2
C1,0.8,61,downstream,0
C1,0.8,62,upstream,349
C1,0.8,62,throat,3
C1,0.8,62,downstream,0
C1,0.8,63,upstream,306
C1,0.8,63,throat,5
C1,0.8,63,downstream,0
C1,0.8,64,upstream,491
C1,0.8,64,throat,6
C1,0.8,64,downstream,0
C1,0.8,65,upstream,248
C1,0.8,65,throat,0
C1,0.8,65,downstream,0
C1,0.8,66,upstream,364
C1,0.8,66,throat,0
C1,0.8,66,downstream,0
C1,1.0,42,upstream,54
C1,1.0,42,throat,0
C1,1.0,42,downstream,0
C1,1.0,43,upstream,42
C1,1.0,43,throat,0
C1,1.0,43,downstream,0
C1,1.0,44,upstream,29
C1,1.0,44,throat,0
C1,1.0,44,downstream,0
C1,1.0,45,upstream,35
C1,1.0,45,throat,0
C1,1.0,45,downstream,0
C1,1.0,46,upstream,68
C1,1.0,46,throat,2
C1,1.0,46,downstream,0
C1,1.0,47,upstream,43
C1,1.0,47,throat,0
C1,1.0,47,downstream,0
C1,1.0,48,upstream,13
C1,1.0,48,throat,0
C1,1.0,48,downstream,0
C1,1.0,49,upstream,32
C1,1.0,49,throat,0
C1,1.0,49,downstream,0
C1,1.0,50,upstream,19
C1,1.0,50,throat,0
C1,1.0,50,downstream,0
C1,1.0,51,upstream,13
C1,1.0,51,throat,2
C1,1.0,51,downstream,0
C1,1.0,52,upstream,69
C1,1.0,52,throat,3
C1,1.0,52,downstream,0
C1,1.0,53,upstream,23
C1,1.0,53,throat,0
C1,1.0,53,downstream,0
C1,1.0,54,upstream,47
C1,1.0,54,throat,0
C1,1.0,54,downstream,0
C1,1.0,55,upstream,32
C1,1.0,55,throat,0
C1,1.0,55,downstream,0
C1,1.0,56,upstream,39
C1,1.0,56,throat,0
C1,1.0,56,downstream,0
C1,1.0,57,upstream,53
C1,1.0,57,throat,0
C1,1.0,57,downstream,0
C1,1.0,58,upstream,37
C1,1.0,58,throat,0
C1,1.0,58,downstream,0
C1,1.0,59,upstream,67
C1,1.0,59,throat,8
C1,1.0,59,downstream,0
C1,1.0,60,upstream,62
