config,n_agents,rep,density,speed
C2,9,0,0.2777777777777778,1.3650123857520156
C2,9,1,0.2777777777777778,1.2875703140757322
C2,9,2,0.2777777777777778,1.3180098905852036
C2,16,0,0.4938271604938272,1.3694628977108638
C2,16,1,0.4938271604938272,1.287412437180073
C2,16,2,0.4938271604938272,1.4344230786203296
C2,25,0,0.7716049382716049,1.289715064985432
C2,25,1,0.7716049382716049,1.3730409813428728
C2,25,2,0.7716049382716049,1.3150444964108274
C2,32,0,0.9876543209876544,1.3199809591337652
C2,32,1,0.9876543209876544,1.3282540212993994
C2,32,2,0.9876543209876544,1.3211461355997163
C2,48,0,1.4814814814814816,1.2496226334393727
C2,48,1,1.4814814814814816,1.229046385584193
C2,48,2,1.4814814814814816,1.304106677852304
C2,64,0,1.9753086419753088,1.213514030503833
C2,64,1,1.9753086419753088,1.214569190991612
C2,64,2,1.9753086419753088,1.2599969071283421
C2,81,0,2.5,1.1126475175727928
C2,81,1,2.5,1.1632297174015893
C2,81,2,2.5,1.1457841439057614
C2,97,0,2.993827160493827,1.051966723967843
C2,97,1,2.993827160493827,1.0745984795931214
C2,97,2,2.993827160493827,1.0491318911119254
C2,113,0,3.4876543209876543,0.9944302991604018
C2,113,1,3.4876543209876543,1.0294532230725388
C2,113,2,3.4876543209876543,0.9745283406329188
C2,129,0,3.981481481481482,0.9879086561020788
C2,129,1,3.981481481481482,0.9701453014088657
C2,129,2,3.981481481481482,0.9391881939126676
C2,145,0,4.4753086419753085,0.9049198457248098
C2,145,1,4.4753086419753085,0.8982835439665944
C2,145,2,4.4753086419753085,0.915987860110954
C2,162,0,5.0,0.8661419349351809
C2,162,1,5.0,0.862269289776491
C2,162,2,5.0,0.8689390150249399
