config,seed,contact_events,total_contact_time_s
C1,42,21,0.54
C1,43,17,0.42
C1,44,11,0.29
C1,45,14,0.35
C1,46,27,0.7
C1,47,19,0.43
C1,48,8,0.13
C1,49,15,0.32
C1,50,10,0.19
C1,51,14,0.15
C1,52,32,0.72
C1,53,11,0.23
C1,54,20,0.47
C1,55,18,0.32
C1,56,16,0.39
C1,57,22,0.53
C1,58,17,0.37
C1,59,32,0.75
C1,60,22,0.62
C1,61,20,0.45
C1,62,21,0.51
C1,63,20,0.43
C1,64,22,0.53
C1,65,16,0.35
C1,66,17,0.4
C4,42,17,0.33
C4,43,11,0.29
C4,44,10,0.25
C4,45,13,0.21
C4,46,18,0.36
C4,47,15,0.28
C4,48,6,0.06
C4,49,12,0.21
C4,50,7,0.09
C4,51,14,0.15
C4,52,25,0.47
C4,53,8,0.13
C4,54,19,0.34
C4,55,16,0.25
C4,56,18,0.38
C4,57,14,0.26
C4,58,15,0.29
C4,59,26,0.55
C4,60,16,0.38
C4,61,17,0.32
C4,62,21,0.49
C4,63,16,0.28
C4,64,19,0.4
C4,65,19,0.38
C4,66,11,0.19
