model,seed,evacuation_time,agents_exited,wall_time_s
SocialForce,42,inf,33,0.6251145999999608
SocialForce,43,inf,33,0.5713811999999052
SocialForce,44,inf,34,0.5592885000000933
SocialForce,45,inf,33,0.6072892000001957
SocialForce,46,inf,29,0.6972575999998298
SocialForce,47,inf,33,0.6726820000003499
SocialForce,48,inf,31,0.5866909000001215
SocialForce,49,inf,33,0.680877799999962
SocialForce,50,inf,35,0.617584000000079
SocialForce,51,inf,27,0.7454928000001928
SocialForce,52,inf,28,0.6715726000002178
SocialForce,53,inf,31,0.6456613999998808
SocialForce,54,inf,33,0.582233599999654
SocialForce,55,inf,28,0.7134147000001576
SocialForce,56,inf,33,0.6186594000000696
SocialForce,57,inf,30,0.6021362999999837
SocialForce,58,inf,32,0.6080459999998311
SocialForce,59,inf,29,0.6333636999997907
SocialForce,60,inf,29,0.6314342000000579
SocialForce,61,inf,33,0.6045908999999483
SocialForce,62,inf,32,0.6119474000001901
SocialForce,63,inf,32,0.6197631000000001
SocialForce,64,inf,28,0.6005104999999276
SocialForce,65,inf,34,0.6148438000000169
SocialForce,66,inf,29,0.6355176000001848
