width,config,seed,J_sim,wall_seconds,n_agents
2.4,C1,42,3.0674846625767342,1.5640791249461472,50
2.4,C1,43,2.837684449489224,1.5487200419884175,50
2.4,C1,44,3.184713375796237,1.4179049169761129,50
2.4,C1,45,2.9086678301338176,1.5649756659986451,50
2.4,C1,46,3.1250000000000577,1.4984675000305288,50
2.4,C1,47,2.934272300469507,1.4774732500081882,50
2.4,C1,48,2.992220227408771,1.57672862499021,50
2.4,C1,49,3.056234718826451,1.4520577910006978,50
2.4,C1,50,2.9205607476635724,1.5837253329809755,50
2.4,C1,51,3.3557046979866385,1.4263385409722105,50
2.4,C1,52,3.099814011159384,1.4098330000415444,50
2.4,C1,53,3.076923076923126,1.424784875009209,50
2.4,C1,54,3.1367628607277873,1.5016693750512786,50
2.4,C1,55,2.7716186252771586,1.7125650409725495,50
2.4,C1,56,3.1191515907673684,1.5692917500273325,50
2.4,C1,57,3.217503217503277,1.4432372500305064,50
2.4,C1,58,3.217503217503277,1.4671787089901045,50
2.4,C1,59,3.156565656565715,1.4579093329957686,50
2.4,C1,60,3.134796238244572,1.4392898750375025,50
2.4,C1,61,3.1466331025802976,1.4793261250015348,50
2.4,C1,62,3.2637075718016266,1.542370708019007,50
2.4,C1,63,2.815315315315319,1.4926051660440862,50
2.4,C1,64,3.184713375796237,1.9427045829943381,50
2.4,C1,65,2.8653295128939944,1.5239314589998685,50
2.4,C1,66,2.83929585462806,1.4943819580366835,50
2.4,C4,42,3.0266343825666255,21.362892290984746,50
2.4,C4,43,2.832861189801706,19.59416662500007,50
2.4,C4,44,3.289473684210587,16.88864120800281,50
2.4,C4,45,3.1387319522913324,18.87133150000591,50
2.4,C4,46,3.150598613736668,20.488192707998678,50
2.4,C4,47,3.058103975535214,17.259462624962907,50
2.4,C4,48,3.1017369727047686,20.39030112500768,50
2.4,C4,49,3.2051282051282644,17.46959416597383,50
2.4,C4,50,3.033980582524313,18.423521832970437,50
2.4,C4,51,3.4867503486750984,19.269475875014905,50
2.4,C4,52,3.140703517587998,18.393384957977105,50
2.4,C4,53,3.1308703819662447,18.161792875034735,50
2.4,C4,54,3.056234718826451,18.277993957977742,50
2.4,C4,55,2.91885580852308,24.401475083024707,50
2.4,C4,56,3.1269543464665994,22.307680832978804,50
2.4,C4,57,3.541076487252189,18.475618250027765,50
2.4,C4,58,3.117206982543698,20.690126749977935,50
2.4,C4,59,3.035822707953897,20.306364249961916,50
2.4,C4,60,3.1969309462916193,18.953988250053953,50
2.4,C4,61,3.172588832487368,21.40461695799604,50
2.4,C4,62,3.2959789057350637,19.645543083024677,50
2.4,C4,63,2.7839643652561237,20.15141820802819,50
2.4,C4,64,3.244646333549703,22.06189270899631,50
2.4,C4,65,2.868617326448664,21.31085945799714,50
2.4,C4,66,3.004807692307728,20.904359541949816,50
3.6,C1,42,3.679175864606395,1.6551192500046454,50
3.6,C1,43,3.69003690036907,1.6550097079598345,50
3.6,C1,44,4.071661237785088,1.3843882080400363,50
3.6,C1,45,3.5211267605634444,1.5782122910022736,50
3.6,C1,46,3.9184952978057126,1.5368658749503084,50
3.6,C1,47,3.987240829346163,1.337763250048738,50
3.6,C1,48,3.9525691699605447,1.4638251659926027,50
3.6,C1,49,3.924646781789709,1.4094802500330843,50
3.6,C1,50,3.8639876352396363,1.467379667039495,50
3.6,C1,51,4.306632213609033,1.498147209000308,50
3.6,C1,52,3.81388253241807,1.409441958006937,50
3.6,C1,53,3.69003690036907,1.4822450000210665,50
3.6,C1,54,3.881987577639821,1.4796853329753503,50
3.6,C1,55,3.489183531053797,1.545205749978777,50
3.6,C1,56,3.69003690036907,1.6116973329917528,50
3.6,C1,57,4.101722723543961,1.4853920839959756,50
3.6,C1,58,3.891050583657657,1.514884207979776,50
3.6,C1,59,3.9401103230891166,1.4512637080042623,50
3.6,C1,60,3.8402457757297155,1.5086665409617126,50
3.6,C1,61,4.025764895330184,1.4935551669914275,50
3.6,C1,62,4.0816326530612965,1.4496412089793012,50
3.6,C1,63,3.5997120230382222,1.5519017080077901,50
3.6,C1,64,4.032258064516201,1.522208291979041,50
3.6,C1,65,3.5460992907802065,1.534276582999155,50
3.6,C1,66,3.7792894935752757,1.5178188750287518,50
3.6,C4,42,3.9745627980922804,19.766097042011097,50
3.6,C4,43,3.6496350364964165,18.70369454199681,50
3.6,C4,44,4.0916530278233125,17.565806458995212,50
3.6,C4,45,3.607503607503673,19.768159625004046,50
3.6,C4,46,3.949447077409233,19.92066133301705,50
3.6,C4,47,3.843197540353643,17.396891542011872,50
3.6,C4,48,3.8255547054323564,17.00491979101207,50
3.6,C4,49,3.9777247414479624,16.499466291978024,50
3.6,C4,50,3.8940809968848047,17.58534900000086,50
3.6,C4,51,4.128819157720964,18.325605541002005,50
3.6,C4,52,3.891050583657657,16.680075583048165,50
3.6,C4,53,3.984063745019991,17.129067958972882,50
3.6,C4,54,4.068348250610324,15.269135917013045,50
3.6,C4,55,3.86100386100393,15.102238499966916,50
3.6,C4,56,3.9215686274510504,18.269425541977398,50
3.6,C4,57,4.4208664898320835,15.707739499979652,50
3.6,C4,58,3.9904229848364636,16.38285033404827,50
3.6,C4,59,3.8491147036182367,16.261616083036643,50
3.6,C4,60,4.006410256410327,14.95688891701866,50
3.6,C4,61,4.051863857374464,17.391509042005055,50
3.6,C4,62,4.074979625101947,15.750677042000461,50
3.6,C4,63,3.5460992907802065,15.834753333008848,50
3.6,C4,64,4.219409282700496,15.27004970802227,50
3.6,C4,65,3.4578146611342264,16.134349666011985,50
3.6,C4,66,3.787878787878856,14.490145208023023,50
